Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance
Ruddy Ebondo,21,Elche,FRA,Defender,26,3,4.4,1,0,64,8,20,15.62,4,15,116,93,0,Bad
Marcel Tisserand,27,R. Sociedad,COD,Defender,38,5,5.0,2,0,114,16,25.47,18.83,5,28,129,99,0,Bad
Roger,29,Rayo,ESP,Midfielder,29,0,4.8,8,0,26,1,23.46,14.53,31,78,34,12,0,Bad
Peru Nolaskoain,21,R. Sociedad,ESP,Midfielder,17,0,4.4,2,0,8,3,37.54,23.9,7,18,26,15,0,Bad
Iñaki Peña,21,FC Barcelona,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Fernando Cano,25,Málaga,ESP,Midfielder,28,5,4.5,5,0,23,15,33.25,20.77,12,35,18,12,0,Normal
Javi Hervás,30,Albacete,ESP,Midfielder,27,2,4.6,1,0,66,35,36.44,28.56,10,40,103,59,0,Normal
Víctor Arribas,23,Albacete,ESP,Defender,2,0,0,0,0,2,0,0,0,0,0,7,5,0,-
Antonio Sivera,23,Valencia,ESP,Goalkeeper,1,0,1.7,0,1,0,0,13,4,0,0,0,0,0,-
Carlos Neva,23,Albacete,ESP,Defender,26,1,4.3,0,0,21,19,25.09,14.22,3,6,51,26,0,Bad
Gonzalo Escalante,26,Aston Villa,ARG,Midfielder,34,1,7.3,0,0,216,11,42.72,33.69,7,19,107,83,0,Normal
Borja Fernández,24,R. Betis,ESP,Midfielder,25,3,4.8,0,0,34,7,31.4,25,3,8,93,56,0,Normal
Luke Shaw,24,Man Utd,ENG,Defender,34,15,8.5,6,0,306,218,59.55,48.54,30,52,226,178,0,Good
Joe Ralls,26,Middlesbrough,ENG,Defender,31,2,8.2,0,0,102,54,58.38,43.8,6,27,84,64,0,Normal
Jorrit Hendrix,25,Watford,NED,Defender,29,0,6.7,1,0,226,30,43.04,32.64,2,8,131,109,0,Good
Divock Origi,24,Arsenal,BEL,Midfielder,30,1,6.9,8,0,9,73,23.38,18.15,30,63,31,13,0,Good
Antonio Raíllo,28,Espanyol,ESP,Defender,4,0,4.6,0,0,11,0,23.09,18,0,0,15,12,0,-
Sergi Canos,23,Deportivo,ESP,Midfielder,7,0,4.0,0,0,5,0,27.09,15.05,2,6,9,6,0,Bad
Mirko Gori,27,Crystal Palace,ITA,Midfielder,28,1,8.0,1,0,175,47,54.66,44.67,3,17,100,84,0,Normal
Christian Kjetil Haug,21,Man City,NOR,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Diego Mariño,29,Levante,ESP,Goalkeeper,22,0,1.4,0,26,0,0,19.09,8.82,0,0,0,0,7,Normal
Davy Klaassen,27,Everton,NED,Midfielder,33,3,7.6,10,0,62,89,58.59,43.51,26,59,85,59,0,Good
Mauro Icardi,27,Man City,ARG,Striker,15,1,7.6,5,0,9,27,30,22.34,14,34,19,7,0,Normal
Kingsley Coman,23,R. Madrid,FRA,Midfielder,27,9,6.0,6,0,25,35,39.67,26.73,17,40,35,20,0,Normal
Dominic Iorfa,24,Sunderland,NGA,Defender,32,5,7.2,1,0,317,75,38.37,24.8,4,8,154,126,0,Good
Yohan Cabaye,34,Crystal Palace,FRA,Midfielder,30,1,8.4,2,0,116,114,68.59,49.44,6,17,97,69,0,Good
Héctor,24,Málaga,ESP,Midfielder,20,4,5.4,4,0,14,7,23.82,17.14,21,46,13,4,0,Normal
Jon Bautista,24,Elche,ESP,Striker,13,0,4.9,3,0,6,0,32.7,19.43,6,16,16,8,0,Bad
Andrew Robertson,25,Tottenham,SCO,Defender,28,3,7.9,0,0,181,75,49.77,38.37,3,9,233,193,0,Good
Juan Soriano,22,Sevilla,ESP,Goalkeeper,9,0,1.3,0,7,0,1,19.29,9.81,0,0,2,2,3,Normal
Steliano Filip,25,Watford,ROU,Defender,25,2,7.4,0,0,136,36,45.24,34.55,3,5,166,129,0,Good
Nathan Aké,25,Aston Villa,NED,Defender,23,0,6.1,0,0,150,6,38.43,29.89,2,5,58,47,0,Good
Jozabed,28,Rayo,ESP,Midfielder,25,5,4.7,1,0,49,14,37.44,25.39,5,17,47,26,0,Normal
Alberto Ródenas,21,Cádiz,ESP,Striker,4,0,4.3,2,0,3,0,21.18,13.24,4,6,3,1,0,-
Marc-André ter Stegen,27,FC Barcelona,GER,Goalkeeper,44,0,1.9,0,51,0,0,20.75,13.7,0,0,0,0,16,Normal
Nolito,33,Celta,ESP,Midfielder,27,4,4.4,3,0,13,10,33.61,18.65,8,28,46,24,0,Normal
Dennis Praet,25,Swansea,BEL,Midfielder,8,0,8.0,0,0,29,19,68.68,56.45,2,3,19,13,0,Good
Jordi Masip,31,Espanyol,ESP,Goalkeeper,5,0,2.1,0,7,0,0,19.8,10.57,0,0,3,2,2,Normal
Carlos Soler,23,Valencia,ESP,Midfielder,32,2,5.6,1,0,34,15,48.34,39.32,2,8,92,64,0,Normal
Mikel Oyarzábal,22,R. Sociedad,ESP,Midfielder,37,5,4.6,11,0,85,18,37.82,24.94,37,90,32,23,0,Normal
Sergi Samper,25,Levante,ESP,Midfielder,30,10,4.4,3,0,127,27,46.27,40.24,9,21,132,85,0,Normal
Harry Kane,26,Tottenham,ENG,Striker,34,5,7.2,26,0,38,81,32.69,21.72,64,137,50,23,0,Good
Ondrej Duda,25,Leicester,SVK,Midfielder,10,0,8.2,0,0,19,33,54.2,44.18,2,9,23,14,0,Good
Marco van Ginkel,27,Chelsea,NED,Midfielder,28,0,7.8,0,0,112,22,47.2,37.8,2,7,106,88,0,Normal
Tosin Adarabioyo,22,Middlesbrough,NGA,Defender,20,0,6.7,0,0,244,4,36.42,21.26,4,6,83,73,0,Good
Lindsay Rose,28,Málaga,FRA,Defender,21,0,4.7,0,0,35,0,21.96,16.16,0,5,56,44,0,Bad
Emre Can,26,Arsenal,GER,Defender,19,0,6.3,0,0,146,1,35.13,26.47,4,9,50,46,0,Good
Josep Señé,28,Málaga,ESP,Midfielder,16,0,4.7,4,0,12,6,35.01,21.84,9,23,25,15,0,Bad
José Ángel,31,Elche,ESP,Defender,23,4,4.2,0,0,68,11,21.75,17.18,0,7,105,85,0,Bad
Jordi Alba,30,FC Barcelona,ESP,Defender,27,2,6.0,1,0,91,16,33.32,23.06,4,16,95,74,0,Normal
Aymeric Laporte,25,Man Utd,FRA,Defender,23,2,6.1,2,0,308,13,47.83,38.65,9,32,117,107,0,Good
Danilo,24,Arsenal,BRA,Midfielder,30,3,7.6,1,0,188,71,45.32,37.52,5,30,150,124,0,Good
Marc Albrighton,30,Leicester,ENG,Defender,21,3,8.1,3,0,17,35,57.78,41.67,7,13,22,12,0,Bad
Cristiano Ronaldo,35,R. Madrid,POR,Midfielder,39,12,4.9,29,0,95,62,42.38,26.73,99,182,21,15,0,Normal
Nacho,30,Rayo,ESP,Defender,1,0,5.6,0,0,2,1,23,18,0,0,4,3,0,-
Tim Krul,31,Newcastle,NED,Goalkeeper,42,0,2.8,0,54,0,0,29.27,22.63,0,0,0,0,12,Normal
Lucas Vázquez,28,R. Betis,ESP,Midfielder,38,6,5.4,7,0,35,15,23.54,13.12,18,54,76,40,0,Normal
Trent Alexander-Arnold,21,West Ham,ENG,Defender,16,0,7.3,1,0,90,9,41.69,32.46,3,9,92,80,0,Good
Javi Noblejas,26,Elche,ESP,Defender,23,3,4.7,0,0,78,5,24.51,18.27,0,4,118,92,0,Normal
